Lazy chunk files        Raw size
animated-svg-stories.routing-VIW7PAJD.js | 13.84 kB
highlight-stories.routing-SNGADG3Y.js | 13.80 kB
user-info-stories.module-B5UP6XAN.js | 13.78 kB
multiple-location-input-stories.routing-5C3J4OJR.js | 13.71 kB
chunk-POI4NYMI.js | 13.60 kB
animate-on-scroll-stories.routing-GER46MSQ.js | 13.53 kB
chunk-LLUVQH3N.js | 13.51 kB
chunk-4NBN2AZC.js | 13.43 kB
slider-stories.routing-2E6VA5FZ.js | 13.24 kB
toggle-stories.routing-3YXZGHFM.js | 13.22 kB
project-contest-card-stories.module-PTV4WNHI.js | 13.13 kB
chunk-KRMH4HTC.js | 13.10 kB
error-handling.component-OCNYQOU4.js | 13.06 kB
bn-42JZFFJX.js | 13.06 kB
chunk-CBCL5JR7.js | 12.96 kB
chunk-P5F7VGKH.js | 12.81 kB
illustrations.component-M37XGYVF.js | 12.79 kB
chunk-ZACSYWUL.js | 12.77 kB
spacing.component-V2J37KGF.js | 12.73 kB
earnings-stories.routing-4OPMZ2FT.js | 12.62 kB
freelancer-currency-stories.routing-N3NODIVF.js | 12.43 kB
chunk-PE6ER3F7.js | 12.27 kB
view-header-stories.routing-UASL33OW.js | 12.18 kB
floating-action-stories.routing-475KWS2Z.js | 11.97 kB
cs-IAPBLG5Q.js | 11.91 kB
th-ZRZZV5LH.js | 11.85 kB
accept-rate-stories.routing-FYKPTUJ4.js | 11.64 kB
skills-stories.module-UFHOPUSD.js | 11.62 kB
online-indicator-stories.routing-NK2O3YUW.js | 11.58 kB
el-L5MJAQ3A.js | 11.49 kB
tagging-stories.routing-FQTMGMHN.js | 11.42 kB
interactive-text-stories.module-U7YQJCBL.js | 11.33 kB
slide.component-MZA7KJIV.js | 11.24 kB
sl-MTN7IBBZ.js | 11.03 kB
hi-Z4VTUHR6.js | 11.02 kB
accessibility.component-WQ5MIUKE.js | 10.93 kB
colors.component-EINGBYGU.js | 10.92 kB
flag-stories.routing-AON2QYSG.js | 10.90 kB
upgrade-tag-stories.routing-QIVJNVL5.js | 10.84 kB
ribbon-stories.routing-TTGY2HAM.js | 10.54 kB
container-stories.routing-HWNGYDJZ.js | 10.53 kB
spinner-stories.routing-EPISBVJR.js | 10.45 kB
is-online-stories.module-YX5FZ56Z.js | 10.40 kB
chart-stories.routing-UCQS5CW4.js | 10.39 kB
chunk-JJYZY432.js | 10.36 kB
countdown-timer-stories.routing-ZHK4FYWJ.js | 10.31 kB
chunk-CFRUGTM7.js | 10.26 kB
sticky-footer-stories.routing-O75Y4IXS.js | 10.21 kB
chunk-JMBY6HUO.js | 10.21 kB
getting-started.component-UBSPA6FD.js | 10.14 kB
anchor-scroll-stories.routing-S45EXRMW.js | 10.08 kB
get-started.component-IPLJ3ASI.js | 10.02 kB
modals.component-2Z4LETIM.js | 9.79 kB
css-S2IW7FHU.js | 9.68 kB
logo-stories.routing-MLYESAYD.js | 9.65 kB
breadcrumbs-stories.routing-JQW6NPXO.js | 9.30 kB
attention-seeker.component-JJXDN2K3.js | 9.25 kB
ai-modal-stories.module-V3AUPOVT.js | 9.24 kB
chunk-MRHRBJ3Q.js | 9.16 kB
image-caption-stories.routing-MFELWMPO.js | 9.16 kB
auto-link-stories.routing-G66Y4UZS.js | 9.14 kB
chunk-2BOWOOSY.js | 9.08 kB
chunk-YDML7WS7.js | 9.00 kB
emoji-picker-stories.routing-H4JSBHPW.js | 8.91 kB
review-count-stories.routing-I2OCX7JT.js | 8.82 kB
pl-JFBEL6OP.js | 8.80 kB
fade.component-SNFRQAGI.js | 8.61 kB
share-modal-stories.routing-CAAGSME4.js | 8.46 kB
banner-announcement-stories.routing-2ZJRRMMQ.js | 8.39 kB
chunk-3IUSQVE6.js | 8.33 kB
control-value-accessor-stories.routing-6X4UTRAJ.js | 8.26 kB
completed-jobs-stories.routing-3YHPR772.js | 8.25 kB
chunk-7UDQASSQ.js | 8.14 kB
vi-7JA7TBFO.js | 8.08 kB
dynamic-time-stories.module-QL3YJ54N.js | 7.99 kB
focus-stories.routing-N65MFPKE.js | 7.97 kB
worked-time-stories.module-JLJTORLM.js | 7.92 kB
design-contribution.component-REEVV3UA.js | 7.86 kB
user-feedback-stories.routing-NAHQNXDU.js | 7.82 kB
forms.component-PWZXMTNP.js | 7.46 kB
chunk-F232Q54F.js | 7.44 kB
typescript-EPDKN4V2.js | 7.41 kB
de-EH3WJZGE.js | 7.14 kB
zh-CN-AZBIY7J4.js | 6.99 kB
ca-HKKBETNV.js | 6.78 kB
linkshim-stories.module-565B2CUQ.js | 6.74 kB
ja-MEJDIRT4.js | 6.69 kB
fi-OSF4VA56.js | 6.54 kB
general-rules.component-LGCX6PFE.js | 6.49 kB
label-stories.routing-PKFPIPDN.js | 6.41 kB
